tem,rain,rain%,cloud,pressure,wind,gust,forecast,dateTime,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
21,0.3,0,93,1015,14,22,5,2009102106,0,0,0,0,0,0,0,0,0,1,0,0
25,0,0,88,1016,9,11,13,2009102109,0,0,0,0,0,0,0,0,0,1,0,0
29,0,0,59,1014,6,7,14,2009102112,0,0,0,0,0,0,0,0,0,1,0,0
31,0,0,47,1012,3,3,14,2009102115,0,0,0,0,0,0,0,0,0,1,0,0
26,0,0,44,1014,5,11,14,2009102118,0,0,0,0,0,0,0,0,0,1,0,0
25,0,0,80,1016,5,10,1,2009102121,0,0,0,0,0,0,0,0,0,1,0,0
25,0,0,91,1016,4,7,13,2009102200,0,0,0,0,0,0,0,0,0,1,0,0
22,0,0,100,1016,6,10,13,2009102203,0,0,0,0,0,0,0,0,0,1,0,0
21,0,0,100,1016,11,17,13,2009102206,0,0,0,0,0,0,0,0,0,1,0,0
22,0.7,0,100,1017,8,12,5,2009102209,0,0,0,0,0,0,0,0,0,1,0,0
22,0.7,0,100,1015,5,8,5,2009102212,0,0,0,0,0,0,0,0,0,1,0,0
22,0.5,0,70,1014,3,5,15,2009102215,0,0,0,0,0,0,0,0,0,1,0,0
21,0.8,0,36,1015,4,6,18,2009102218,0,0,0,0,0,0,0,0,0,1,0,0
21,0,0,48,1016,3,6,14,2009102221,0,0,0,0,0,0,0,0,0,1,0,0
21,0,0,37,1015,5,10,14,2009102300,0,0,0,0,0,0,0,0,0,1,0,0
20,0,0,23,1014,6,11,8,2009102303,0,0,0,0,0,0,0,0,0,1,0,0
21,0,0,30,1015,6,10,14,2009102306,0,0,0,0,0,0,0,0,0,1,0,0
30,0,0,40,1014,4,5,14,2009102309,0,0,0,0,0,0,0,0,0,1,0,0
34,0,0,35,1012,4,4,14,2009102312,0,0,0,0,0,0,0,0,0,1,0,0
33,0,0,16,1011,5,7,0,2009102315,0,0,0,0,0,0,0,0,0,1,0,0
27,0,0,10,1012,8,14,0,2009102318,0,0,0,0,0,0,0,0,0,1,0,0
25,0,0,17,1013,6,11,0,2009102321,0,0,0,0,0,0,0,0,0,1,0,0
22,0,0,36,1012,5,9,8,2009102400,0,0,0,0,0,0,0,0,0,1,0,0
20,0,0,100,1011,2,3,2,2009102403,0,0,0,0,0,0,0,0,0,1,0,0
25,0,0,45,1012,3,4,14,2009102406,0,0,0,0,0,0,0,0,0,1,0,0
33,0,0,26,1013,4,4,14,2009102409,0,0,0,0,0,0,0,0,0,1,0,0
35,0,0,16,1010,8,9,0,2009102412,0,0,0,0,0,0,0,0,0,1,0,0
35,0,0,14,1009,9,12,0,2009102415,0,0,0,0,0,0,0,0,0,1,0,0
28,0,0,26,1009,12,20,14,2009102418,0,0,0,0,0,0,0,0,0,1,0,0
26,0,0,38,1012,6,10,8,2009102421,0,0,0,0,0,0,0,0,0,1,0,0
26,0,0,37,1012,6,9,14,2009102500,0,0,0,0,0,0,0,0,0,1,0,0
27,0,0,36,1011,5,7,14,2009102503,0,0,0,0,0,0,0,0,0,1,0,0
28,0,0,36,1013,8,11,14,2009102506,0,0,0,0,0,0,0,0,0,1,0,0
34,0.1,0,30,1014,7,8,14,2009102509,0,0,0,0,0,0,0,0,0,1,0,0
33,0,0,32,1012,9,11,14,2009102512,0,0,0,0,0,0,0,0,0,1,0,0
33,0.9,0,36,1010,8,11,18,2009102515,0,0,0,0,0,0,0,0,0,1,0,0
28,0,0,33,1012,10,18,8,2009102518,0,0,0,0,0,0,0,0,0,1,0,0
